country,count
India,907
Myanmar,214
Pakistan,80
Iran (Islamic Republic of),67
Iraq,43
Ukraine,41
Yemen,33
Russian Federation,33
"Palestine, State of",28
Sudan,25
Ethiopia,24
Bangladesh,24
Syrian Arab Republic,23
Venezuela (Bolivarian Republic of),19
Turkey,17
Algeria,15
Jordan,15
Chad,11
Libya,9
Congo (Democratic Republic of the),9
Kazakhstan,9
Azerbaijan,9
"Tanzania, United Republic of",9
Cuba,9
Indonesia,8
Afghanistan,8
Cameroon,7
Kenya,7
Senegal,7
Turkmenistan,7
Uganda,6
Belarus,6
Togo,6
Nigeria,6
Guinea,6
Brazil,5
Mali,5
Sri Lanka,5
Tajikistan,5
Mauritania,5
Viet Nam,4
Gabon,4
Uzbekistan,4
Egypt,4
China,4
Zimbabwe,3
Philippines,3
Equatorial Guinea,3
Somaliland,3
Sierra Leone,3
Ecuador,3
Oman,3
Burkina Faso,3
Mozambique,3
Nepal,3
Morocco,2
Saudi Arabia,2
North Korea,2
Bahrain,2
Benin,2
Kyrgyzstan,2
Eswatini,2
South Sudan,2
El Salvador,2
Guinea-Bissau,2
Cambodia,2
Panama,2
Montenegro,1
United Arab Emirates,1
Gambia,1
South Korea,1
Côte d'Ivoire,1
Nicaragua,1
United Kingdom,1
Malawi,1
Lebanon,1
Liberia,1
Eritrea,1
Qatar,1
Burundi,1
Niger,1
Congo,1
Zambia,1
Tunisia,1
Latvia,1
Armenia,1
Suriname,1
Comoros,1
Israel,1
Malaysia,1
New Caledonia,1
"Burundi; Kenya; Rwanda; Tanzania, United Republic of; Uganda",1
Laos; Myanmar,1
Mauritius,1
United States of America,1
Albania,1
Papua New Guinea,1
Lithuania,1
Angola,1
Cameroon; Central African Republic,1
