region,gov_justification,count
Jammu & Kashmir,National Security/ Counter-Terrorism,139
Jammu & Kashmir,Public Safety/ Quell Unrest/ Restore Public Order,111
Jammu & Kashmir,Precautionary Measure,75
Jammu & Kashmir,Fake News/ Hate Speech/ Incendiary Content/ Promoting Violence,65
Jammu & Kashmir,Other,43
Manipur,Fake News/ Hate Speech/ Incendiary Content/ Promoting Violence,71
Manipur,Public Safety/ Quell Unrest/ Restore Public Order,2
Manipur,Unknown,1
Rajasthan,Public Safety/ Quell Unrest/ Restore Public Order,28
Rajasthan,Fake News/ Hate Speech/ Incendiary Content/ Promoting Violence,22
Rajasthan,Unknown,12
Rajasthan,School Exams,9
Rajasthan,Precautionary Measure,4
Rest of India,Fake News/ Hate Speech/ Incendiary Content/ Promoting Violence,123
Rest of India,Public Safety/ Quell Unrest/ Restore Public Order,82
Rest of India,Unknown,43
Rest of India,Precautionary Measure,20
Rest of India,School Exams,11
