State/UT,Year,NSDP Growth
Jammu and Kashmir,2016-17,78960
Jammu and Kashmir,2017-18,87710
Jammu and Kashmir,2018-19,98738
Jammu and Kashmir,2019-20,101868
Jammu and Kashmir,2020-21,101645
Jammu and Kashmir,2021-22,1112898
Jammu and Kashmir,2022-23,123164
Jammu and Kashmir,2023-24,140051
Jammu and Kashmir,2024-25,15426
Manipur,2016-17,59345
Manipur,2017-18,71507
Manipur,2018-19,73795
Manipur,2019-20,78574
Manipur,2020-21,75784
Manipur,2021-22,98826
Manipur,2022-23,107133
Manipur,2023-24,119938
Manipur,2024-25,NA
Rajasthan,2016-17,91924
Rajasthan,2017-18,98698
Rajasthan,2018-19,106604
Rajasthan,2019-20,115534
Rajasthan,2020-21,114925
Rajasthan,2021-22,134143
Rajasthan,2022-23,150020
Rajasthan,2023-24,166647
Rajasthan,2024-25,185053
