country,count
India,920
Myanmar,244
Pakistan,101
Iran (Islamic Republic of),99
Ukraine,49
Iraq,43
Russian Federation,43
Yemen,33
Ethiopia,32
"Palestine, State of",30
Turkey,27
Bangladesh,26
Sudan,25
Jordan,24
Syrian Arab Republic,23
Venezuela (Bolivarian Republic of),20
Indonesia,17
Algeria,15
"Tanzania, United Republic of",14
China,12
Chad,11
Uganda,10
Saudi Arabia,10
United Arab Emirates,10
Nigeria,10
Turkmenistan,10
Libya,9
Congo (Democratic Republic of the),9
Kazakhstan,9
Azerbaijan,9
Cuba,9
Oman,9
Senegal,8
Afghanistan,8
Cameroon,7
Lebanon,7
Kenya,7
Guinea,7
Belarus,6
Togo,6
Tajikistan,6
Qatar,6
Brazil,5
Mali,5
Sri Lanka,5
Mauritania,5
Viet Nam,4
Gabon,4
Uzbekistan,4
Egypt,4
Equatorial Guinea,4
Latvia,4
Nepal,4
Zimbabwe,3
Philippines,3
Somaliland,3
Sierra Leone,3
Ecuador,3
Kyrgyzstan,3
Burkina Faso,3
Mozambique,3
Morocco,2
North Korea,2
Bahrain,2
Benin,2
Eswatini,2
South Sudan,2
Malaysia,2
El Salvador,2
Guinea-Bissau,2
Cambodia,2
Panama,2
Montenegro,1
Gambia,1
South Korea,1
Côte d'Ivoire,1
Nicaragua,1
United Kingdom,1
Malawi,1
Liberia,1
Eritrea,1
Burundi,1
Niger,1
Congo,1
Zambia,1
Tunisia,1
Armenia,1
Suriname,1
Comoros,1
Israel,1
New Caledonia,1
"Burundi; Kenya; Rwanda; Tanzania, United Republic of; Uganda",1
Laos; Myanmar,1
Mauritius,1
United States of America,1
Albania,1
Papua New Guinea,1
Lithuania,1
Angola,1
Cameroon; Central African Republic,1
